sc23 company name,sc23 booth number,sc23 booth area sqft,sc23 normalized company name,sc24 company name,sc24 booth number,sc24 booth area sqft,sc24 normalized company name,canonical name,max booth area sqft,sqft increase,sqft abs change
,,0.0,,The Cloud Minders,4700,200.0,the cloud minders,the cloud minders,200.0,200.0,200.0
,,0.0,,Gates,4708,200.0,gates,gates,200.0,200.0,200.0
NSTDA Supercomputer Center (ThaiSC),2174,200.0,nstda supercomputer center thaisc,,,0.0,,nstda supercomputer center thaisc,200.0,-200.0,200.0
,,0.0,,SANYO DENKI AMERICA,4605,200.0,sanyo denki america,sanyo denki america,200.0,200.0,200.0
"Shenzhen Gooxi Information Security Co., Ltd.",381,200.0,shenzhen gooxi information security co ltd,,,0.0,,shenzhen gooxi information security co ltd,200.0,-200.0,200.0
,,0.0,,Step Computing DBA Outerbounds,516,200.0,step computing dba outerbounds,step computing dba outerbounds,200.0,200.0,200.0
Wisetek,2180,200.0,wisetek,,,0.0,,wisetek,200.0,-200.0,200.0
Rocky Mountain Advanced Computing Consortium (RMACC),2215,200.0,rocky mountain advanced computing consortium rmacc,,,0.0,,rocky mountain advanced computing consortium rmacc,200.0,-200.0,200.0
,,0.0,,d-Matrix,434,200.0,dmatrix,dmatrix,200.0,200.0,200.0
,,0.0,,World Wide Technology,4849,200.0,world wide technology,world wide technology,200.0,200.0,200.0
,,0.0,,Sealing Technologies,4630,200.0,sealing technologies,sealing technologies,200.0,200.0,200.0
,,0.0,,DiCon Fiberoptics,4340,200.0,dicon fiberoptics,dicon fiberoptics,200.0,200.0,200.0
,,0.0,,Phison Technology,4541,200.0,phison technology,phison technology,200.0,200.0,200.0
,,0.0,,Parallel Works,4650,200.0,parallel works,parallel works,200.0,200.0,200.0
,,0.0,,Infostream,730,200.0,infostream,infostream,200.0,200.0,200.0
,,0.0,,In Win Development (U.S.A.) Inc.,4640,200.0,in win development usa inc,in win development usa inc,200.0,200.0,200.0
Volex Inc.,3101,200.0,volex inc,,,0.0,,volex inc,200.0,-200.0,200.0
,,0.0,,Georgia State University,4639,200.0,georgia state university,georgia state university,200.0,200.0,200.0
,,0.0,,CSC - IT Center for Science LUMI,4241,200.0,csc it center for science lumi,csc it center for science lumi,200.0,200.0,200.0
Colorado School of Mines,262,200.0,colorado school of mines,,,0.0,,colorado school of mines,200.0,-200.0,200.0
,,0.0,,"Southco, Inc",4608,200.0,southco inc,southco inc,200.0,200.0,200.0
,,0.0,,MEGWARE,3045,200.0,megware,megware,200.0,200.0,200.0
2CRSi,2109,600.0,2crsi,2CRSi,4823,400.0,2crsi,2crsi,600.0,-200.0,200.0
Georgia Institute of Technology,957,600.0,georgia institute of technology,Georgia Institute of Technology,4415,800.0,georgia institute of technology,georgia institute of technology,800.0,200.0,200.0
"SiliconANGLE Media, Inc.",997,600.0,siliconangle media inc,"SiliconANGLE Media, Inc.",3513,400.0,siliconangle media inc,siliconangle media inc,600.0,-200.0,200.0
Attendee Lounge,273,600.0,attendee lounge,Attendee Lounge,4755,400.0,attendee lounge,attendee lounge,600.0,-200.0,200.0
"Micro-Star INT'L Co., Ltd.",1592,200.0,microstar intl co ltd,"Micro-Star INT'L CO., LTD",3655,400.0,microstar intl co ltd,microstar intl co ltd,400.0,200.0,200.0
IBM,1925,800.0,ibm,IBM,1831,600.0,ibm,ibm,800.0,-200.0,200.0
Panasas,437,600.0,vdura,VDURA,2209,800.0,vdura,vdura,800.0,200.0,200.0
Jonhon,2095,200.0,jonhon,Jonhon,3741,400.0,jonhon,jonhon,400.0,200.0,200.0
NEC Corporation,519,400.0,nec corporation,NEC Corporation,2423,600.0,nec corporation,nec corporation,600.0,200.0,200.0
The University of Tennessee,231,400.0,the university of tennessee,The University of Tennessee,3150,200.0,the university of tennessee,the university of tennessee,400.0,-200.0,200.0
DDC Cabinet Technology,775,400.0,ddc,DDC Solutions,1413,600.0,ddc,ddc,600.0,200.0,200.0
Nokia,587,400.0,nokia,Nokia,1823,600.0,nokia,nokia,600.0,200.0,200.0
Quandela,2601,400.0,quandela,Quandela,4450,200.0,quandela,quandela,400.0,-200.0,200.0
Mississippi State University,1635,600.0,mississippi state university,Mississippi State University,1131,800.0,mississippi state university,mississippi state university,800.0,200.0,200.0
The Ohio State University,1680,200.0,the ohio state university,The Ohio State University,745,400.0,the ohio state university,the ohio state university,400.0,200.0,200.0
StarLight,1281,600.0,starlight,StarLight,2551,400.0,starlight,starlight,600.0,-200.0,200.0
Arista Networks,981,400.0,arista networks,Arista Networks,2141,600.0,arista networks,arista networks,600.0,200.0,200.0
Juniper Networks,1169,400.0,juniper networks,Juniper Networks,2142,200.0,juniper networks,juniper networks,400.0,-200.0,200.0
Great Plains Network,1763,600.0,great plains network,Great Plains Network,1849,400.0,great plains network,great plains network,600.0,-200.0,200.0
PCI-SIG,1401,200.0,pcisig,PCI-SIG,3354,400.0,pcisig,pcisig,400.0,200.0,200.0
Hammerspace,2137,400.0,hammerspace,Hammerspace,4723,600.0,hammerspace,hammerspace,600.0,200.0,200.0
Flatiron Institute,887,400.0,flatiron institute,Flatiron Institute,523,600.0,flatiron institute,flatiron institute,600.0,200.0,200.0
University of Texas at Dallas,881,400.0,university of texas at dallas,University of Texas at Dallas,3747,600.0,university of texas at dallas,university of texas at dallas,600.0,200.0,200.0
"National Supercomputing Centre (NSCC), A*STAR Research Entities",2335,225.0,astar,A*STAR NSCC Singapore,805,400.0,astar,astar,400.0,175.0,175.0
Rescale,398,225.0,rescale,Rescale,4803,400.0,rescale,rescale,400.0,175.0,175.0
Lightmatter,898,225.0,lightmatter,Lightmatter,511,400.0,lightmatter,lightmatter,400.0,175.0,175.0
Quantum Machines,698,225.0,quantum machines,Quantum Machines,746,100.0,quantum machines,quantum machines,225.0,-125.0,125.0
,,0.0,,Leading Technology Micro Inc,649,100.0,leading technology micro inc,leading technology micro inc,100.0,100.0,100.0
,,0.0,,Spectra7 Microsystem Ltd.,1263,100.0,spectra7 microsystem ltd,spectra7 microsystem ltd,100.0,100.0,100.0
Strangeworks,2607,100.0,strangeworks,,,0.0,,strangeworks,100.0,-100.0,100.0
,,0.0,,HARTING Americas,4750,100.0,harting americas,harting americas,100.0,100.0,100.0
,,0.0,,Thermasol Technology,416,100.0,thermasol technology,thermasol technology,100.0,100.0,100.0
,,0.0,,HIPER Global US,4726,100.0,hiper global us,hiper global us,100.0,100.0,100.0
,,0.0,,"Ciphertex, LLC",4119,100.0,ciphertex llc,ciphertex llc,100.0,100.0,100.0
,,0.0,,Superna,4348,100.0,superna,superna,100.0,100.0,100.0
,,0.0,,National Black Data Processing Associates,700,100.0,national black data processing associates,national black data processing associates,100.0,100.0,100.0
,,0.0,,FOGNITIVE,1259,100.0,fognitive,fognitive,100.0,100.0,100.0
Mikros Technologies,1485,100.0,mikros technologies,Mikros Technologies,3825,200.0,mikros technologies,mikros technologies,200.0,100.0,100.0
NCI Pawsey Supercomputing Centre Australia,1824,100.0,pawsey,,,0.0,,pawsey,100.0,-100.0,100.0
ASA Computers,692,100.0,asa computers,,,0.0,,asa computers,100.0,-100.0,100.0
,,0.0,,General Dynamics Mission Systems,3726,100.0,general dynamics mission systems,general dynamics mission systems,100.0,100.0,100.0
,,0.0,,Komprise,414,100.0,komprise,komprise,100.0,100.0,100.0
Syncious,388,100.0,syncious,,,0.0,,syncious,100.0,-100.0,100.0
,,0.0,,"Schlegel Electronic Materials, Inc.",4601,100.0,schlegel electronic materials inc,schlegel electronic materials inc,100.0,100.0,100.0
,,0.0,,Legrand,417,100.0,legrand,legrand,100.0,100.0,100.0
,,0.0,,Unigen Corporation,764,100.0,unigen corporation,unigen corporation,100.0,100.0,100.0
,,0.0,,SWEP North America,4836,100.0,swep north america,swep north america,100.0,100.0,100.0
,,0.0,,US Valve Corporation,3951,100.0,us valve corporation,us valve corporation,100.0,100.0,100.0
The Siemon Company,270,100.0,the siemon company,,,0.0,,the siemon company,100.0,-100.0,100.0
,,0.0,,SPAL Automotive USA,4251,100.0,spal automotive usa,spal automotive usa,100.0,100.0,100.0
,,0.0,,Structuresource Ltd.,1261,100.0,structuresource ltd,structuresource ltd,100.0,100.0,100.0
,,0.0,,Tianqiao and Chrissy Chen Institute,1201,100.0,tianqiao and chrissy chen institute,tianqiao and chrissy chen institute,100.0,100.0,100.0
CMNO LTD,694,100.0,cmno ltd,,,0.0,,cmno ltd,100.0,-100.0,100.0
Reserved,914,100.0,reserved,,,0.0,,reserved,100.0,-100.0,100.0
"Allion Labs, Inc.",286,100.0,allion labs inc,,,0.0,,allion labs inc,100.0,-100.0,100.0
,,0.0,,Security Engineered Machinery,4253,100.0,security engineered machinery,security engineered machinery,100.0,100.0,100.0
,,0.0,,Kandou,4334,100.0,kandou,kandou,100.0,100.0,100.0
,,0.0,,LiquidStack,4748,100.0,liquidstack,liquidstack,100.0,100.0,100.0
,,0.0,,Siemon,726,100.0,siemon,siemon,100.0,100.0,100.0
Computing Research Association,3107,100.0,computing research association,,,0.0,,computing research association,100.0,-100.0,100.0
"Alliance Technology Group, LLC",1397,100.0,alliance technology group llc,,,0.0,,alliance technology group llc,100.0,-100.0,100.0
,,0.0,,GitLab,4651,100.0,gitlab,gitlab,100.0,100.0,100.0
,,0.0,,Toshiba Digital Solutions Corporation,4448,100.0,toshiba digital solutions corporation,toshiba digital solutions corporation,100.0,100.0,100.0
,,0.0,,LightSolver,448,100.0,lightsolver,lightsolver,100.0,100.0,100.0
,,0.0,,Maybell Quantum Industries,4350,100.0,maybell quantum industries,maybell quantum industries,100.0,100.0,100.0
,,0.0,,Keysight,4352,100.0,keysight,keysight,100.0,100.0,100.0
Kyoto University,1729,200.0,kyoto university,Kyoto University,734,100.0,kyoto university,kyoto university,200.0,-100.0,100.0
Beswick Engineering,1692,100.0,beswick engineering,,,0.0,,beswick engineering,100.0,-100.0,100.0
Preferred Networks Inc.,1936,100.0,preferred networks inc,Preferred Networks Inc.,905,200.0,preferred networks inc,preferred networks inc,200.0,100.0,100.0
,,0.0,,"Lintes Technology Co., Ltd.",446,100.0,lintes technology co ltd,lintes technology co ltd,100.0,100.0,100.0
,,0.0,,ParTec AG,744,100.0,partec ag,partec ag,100.0,100.0,100.0
,,0.0,,"Panmnesia, Inc.",3934,100.0,panmnesia inc,panmnesia inc,100.0,100.0,100.0
Advanced Clustering Technologies,1395,100.0,advanced clustering technologies,Advanced Clustering Technologies,4625,200.0,advanced clustering technologies,advanced clustering technologies,200.0,100.0,100.0
Advantech Corporation,2247,100.0,advantech corporation,Advantech Corporation,2409,200.0,advantech corporation,advantech corporation,200.0,100.0,100.0
,,0.0,,Frazier & Deeter,1501,100.0,frazier deeter,frazier deeter,100.0,100.0,100.0
,,0.0,,GMI Cloud,2002,100.0,gmi cloud,gmi cloud,100.0,100.0,100.0
DriveNets,1994,100.0,drivenets,DriveNets,4138,200.0,drivenets,drivenets,200.0,100.0,100.0
,,0.0,,Mansfield Technologies,662,100.0,mansfield technologies,mansfield technologies,100.0,100.0,100.0
Bulk Data Centers AS,1897,100.0,bulk data centers as,,,0.0,,bulk data centers as,100.0,-100.0,100.0
,,0.0,,"SEKISUI Chemical Co., LTD",2001,100.0,sekisui chemical co ltd,sekisui chemical co ltd,100.0,100.0,100.0
,,0.0,,SES AI,4346,100.0,ses ai,ses ai,100.0,100.0,100.0
